"Station.ID","WY","UTMX","UTMY","mean.TSS","mean.Turb","mean.TP"
"L005",2007,502741.140569924,2981642.49758012,31.9166666666667,33.775,159.666666666667
"L005",2008,502741.140569924,2981642.49758012,35.7,33.88,119.6
"L005",2009,502741.140569924,2981642.49758012,28,33.6166666666667,142.583333333333
"L005",2010,502741.140569924,2981642.49758012,13.8636363636364,13.5111111111111,73.2727272727273
"L005",2011,502741.140569924,2981642.49758012,21.5833333333333,19.9333333333333,76.0833333333333
"L005",2012,502741.140569924,2981642.49758012,11.2083333333333,9.65,52.6666666666667
"L005",2013,502741.140569924,2981642.49758012,11.5416666666667,13.6166666666667,80.5
"L005",2014,502741.140569924,2981642.49758012,12.4166666666667,12.625,83.0833333333333
"L005",2015,502741.140569924,2981642.49758012,18.0833333333333,18.375,87.6666666666667
"L005",2016,502741.140569924,2981642.49758012,13.125,12.675,78.5833333333333
"L005",2017,502741.140569924,2981642.49758012,18.4166666666667,19.275,99.1666666666667
"L005",2018,502741.140569924,2981642.49758012,21.2083333333333,29.1833333333333,166.75
"L005",2019,502741.140569924,2981642.49758012,17.0833333333333,15.9583333333333,107.75
"L005",2020,502741.140569924,2981642.49758012,16.5384615384615,12.7,75.9230769230769
"L006",1988,521579.962094501,2966800.1107747,13.3636363636364,36.3923076923077,123.307692307692
"L006",1989,521579.962094501,2966800.1107747,10.8947368421053,24.805,105.35
"L006",1990,521579.962094501,2966800.1107747,31.625,39.2736842105263,121.526315789474
"L006",1991,521579.962094501,2966800.1107747,23.9444444444444,27.1722222222222,90.2631578947368
"L006",1992,521579.962094501,2966800.1107747,22.9117647058824,18.7235294117647,85.8235294117647
"L006",1993,521579.962094501,2966800.1107747,15.8235294117647,24.0117647058824,86.8823529411765
"L006",1994,521579.962094501,2966800.1107747,32.1018518518519,41.9366666666667,144.810290207225
"L006",1995,521579.962094501,2966800.1107747,14.5925925925926,19.8699074074074,120.338496932515
"L006",1996,521579.962094501,2966800.1107747,19.0588235294118,31.9176470588235,117.647058823529
"L006",1997,521579.962094501,2966800.1107747,19,25.978125,103.5625
"L006",1998,521579.962094501,2966800.1107747,29,43.2647058823529,148.1875
"L006",1999,521579.962094501,2966800.1107747,19.7777777777778,29.4177777777778,116.944444444444
"L006",2000,521579.962094501,2966800.1107747,25.0666666666667,43.1514285714286,139.133333333333
"L006",2001,521579.962094501,2966800.1107747,25.7666666666667,32.4393333333333,112.933333333333
"L006",2002,521579.962094501,2966800.1107747,16.4266666666667,24.86,106.6
"L006",2003,521579.962094501,2966800.1107747,32.15,39.6105555555556,151.666666666667
"L006",2004,521579.962094501,2966800.1107747,26.05,34.9166666666667,140.166666666667
"L006",2005,521579.962094501,2966800.1107747,95.8181818181818,116.336363636364,264.818181818182
"L006",2006,521579.962094501,2966800.1107747,45.6153846153846,72.5307692307692,200.153846153846
"L006",2007,521579.962094501,2966800.1107747,42.9166666666667,55.5,176.75
"L006",2008,521579.962094501,2966800.1107747,55.1363636363636,59.9909090909091,166.363636363636
"L006",2009,521579.962094501,2966800.1107747,41.1666666666667,57.15,163.666666666667
"L006",2010,521579.962094501,2966800.1107747,22.5,28.05,126.727272727273
"L006",2011,521579.962094501,2966800.1107747,24.8333333333333,30.25,116.083333333333
"L006",2012,521579.962094501,2966800.1107747,13.125,19.8916666666667,86.5833333333333
"L006",2013,521579.962094501,2966800.1107747,15.8333333333333,28.8,117.166666666667
"L006",2014,521579.962094501,2966800.1107747,22.75,32.5583333333333,132.833333333333
"L006",2015,521579.962094501,2966800.1107747,24.6666666666667,39.9333333333333,137.583333333333
"L006",2016,521579.962094501,2966800.1107747,28.0833333333333,39.4083333333333,134.916666666667
"L006",2017,521579.962094501,2966800.1107747,30.1666666666667,49.1818181818182,160.916666666667
"L006",2018,521579.962094501,2966800.1107747,48.4166666666667,80.9083333333333,211.916666666667
"L006",2019,521579.962094501,2966800.1107747,50.6363636363636,66.0272727272727,199.090909090909
"L006",2020,521579.962094501,2966800.1107747,24.4166666666667,40.3666666666667,141.416666666667
"L007",1988,521439.430488099,2960978.80337257,7.40909090909091,18.7153846153846,90.2307692307692
"L007",1989,521439.430488099,2960978.80337257,7.92105263157895,15.545,91.4
"L007",1990,521439.430488099,2960978.80337257,18.1875,21.975,89.1315789473684
